    ,APT_GROUP                  ,USED_TECHNIQUES_ID
 16 ,APT32 (G0050)              ,"['T1087.001', 'T1583.001', 'T1583.006', 'T1071.001', 'T1071.003', 'T1560', 'T1547.001', 'T1059', 'T1059.001', 'T1059.003', 'T1059.005', 'T1059.007', 'T1543.003', 'T1189', 'T1585.001', 'T1048.003', 'T1041', 'T1203', 'T1068', 'T1083', 'T1222.002', 'T1589', 'T1589.002', 'T1564.001', 'T1564.003', 'T1564.004', 'T1574.002', 'T1070.001', 'T1070.004', 'T1070.006', 'T1105', 'T1056.001', 'T1570', 'T1036', 'T1036.003', 'T1036.004', 'T1036.005', 'T1112', 'T1046', 'T1135', 'T1571', 'T1027', 'T1027.001', 'T1027.010', 'T1027.011', 'T1588.002', 'T1137', 'T1003', 'T1003.001', 'T1566.001', 'T1566.002', 'T1598.003', 'T1055', 'T1012', 'T1021.002', 'T1018', 'T1053.005', 'T1505.003', 'T1072', 'T1608.001', 'T1608.004', 'T1218.005', 'T1218.010', 'T1218.011', 'T1082', 'T1016', 'T1049', 'T1033', 'T1216.001', 'T1569.002', 'T1552.002', 'T1550.002', 'T1550.003', 'T1204.001', 'T1204.002', 'T1078.003', 'T1102', 'T1047']"
 17 ,APT33 (G0064)              ,"['T1071.001', 'T1560.001', 'T1547.001', 'T1110.003', 'T1059.001', 'T1059.005', 'T1555', 'T1555.003', 'T1132.001', 'T1573.001', 'T1546.003', 'T1048.003', 'T1203', 'T1068', 'T1105', 'T1040', 'T1571', 'T1027', 'T1588.002', 'T1003.001', 'T1003.004', 'T1003.005', 'T1566.001', 'T1566.002', 'T1053.005', 'T1552.001', 'T1552.006', 'T1204.001', 'T1204.002', 'T1078', 'T1078.004']"
 18 ,APT37 (G0067)              ,"['T1548.002', 'T1071.001', 'T1123', 'T1547.001', 'T1059', 'T1059.003', 'T1059.005', 'T1059.006', 'T1555.003', 'T1005', 'T1561.002', 'T1189', 'T1203', 'T1105', 'T1559.002', 'T1036.001', 'T1106', 'T1027', 'T1027.003', 'T1120', 'T1566.001', 'T1057', 'T1055', 'T1053.005', 'T1082', 'T1033', 'T1529', 'T1204.002', 'T1102.002']"
 19 ,APT38 (G0082)              ,"['T1071.001', 'T1217', 'T1110', 'T1115', 'T1059.001', 'T1059.003', 'T1059.005', 'T1543.003', 'T1485', 'T1486', 'T1005', 'T1565.001', 'T1565.002', 'T1565.003', 'T1561.002', 'T1189', 'T1083', 'T1562.003', 'T1562.004', 'T1070.001', 'T1070.004', 'T1070.006', 'T1105', 'T1056.001', 'T1112', 'T1106', 'T1135', 'T1027.002', 'T1588.002', 'T1566.001', 'T1057', 'T1053.003', 'T1053.005', 'T1505.003', 'T1518.001', 'T1218.001', 'T1218.011', 'T1082', 'T1049', 'T1033', 'T1569.002', 'T1529', 'T1204.002']"
 20 ,APT39 (G0087)              ,"['T1071.001', 'T1071.004', 'T1560.001', 'T1197', 'T1547.001', 'T1547.009', 'T1110', 'T1115', 'T1059', 'T1059.001', 'T1059.005', 'T1059.006', 'T1136.001', 'T1555', 'T1005', 'T1074.001', 'T1140', 'T1546.010', 'T1041', 'T1190', 'T1083', 'T1070.004', 'T1105', 'T1056', 'T1056.001', 'T1036.005', 'T1046', 'T1135', 'T1027', 'T1027.002', 'T1588.002', 'T1003', 'T1003.001', 'T1566.001', 'T1566.002', 'T1090.001', 'T1090.002', 'T1012', 'T1021.001', 'T1021.002', 'T1021.004', 'T1018', 'T1053.005', 'T1113', 'T1505.003', 'T1553.006', 'T1033', 'T1569.002', 'T1204.001', 'T1204.002', 'T1078', 'T1102.002']"
 21 ,APT41 (G0096)              ,"['T1134', 'T1098', 'T1071.001', 'T1071.002', 'T1071.004', 'T1560.001', 'T1560.003', 'T1197', 'T1547.001', 'T1110.002', 'T1059.001', 'T1059.003', 'T1059.004', 'T1059.007', 'T1136.001', 'T1543.003', 'T1486', 'T1005', 'T1001.003', 'T1074.001', 'T1140', 'T1568.002', 'T1546.008', 'T1480.001', 'T1048.003', 'T1041', 'T1567', 'T1190', 'T1203', 'T1068', 'T1133', 'T1008', 'T1083', 'T1574', 'T1574.001', 'T1574.002', 'T1574.006', 'T1070.001', 'T1070.003', 'T1070.004', 'T1105', 'T1056.001', 'T1036.004', 'T1036.005', 'T1112', 'T1104', 'T1046', 'T1135', 'T1027', 'T1027.002', 'T1588.002', 'T1003.001', 'T1003.002', 'T1566.001', 'T1542.003', 'T1055', 'T1090', 'T1021.001', 'T1021.002', 'T1496', 'T1014', 'T1053.005', 'T1505.003', 'T1553.002', 'T1195.002', 'T1218.001', 'T1218.011', 'T1082', 'T1016', 'T1049', 'T1033', 'T1569.002', 'T1078', 'T1102', 'T1102.001', 'T1047']"
 22 ,Aquatic Panda (G0143)      ,"['T1595.002', 'T1560.001', 'T1059.001', 'T1059.003', 'T1574.001', 'T1562.001', 'T1070.004', 'T1105', 'T1027.010', 'T1588.001', 'T1588.002', 'T1003.001', 'T1518.001', 'T1082', 'T1007']"
 23 ,Axiom (G0001)              ,"['T1583.002', 'T1583.003', 'T1560', 'T1584.005', 'T1005', 'T1001.002', 'T1189', 'T1546.008', 'T1190', 'T1203', 'T1003', 'T1566', 'T1563.002', 'T1021.001', 'T1553', 'T1078']"
 24 ,BackdoorDiplomacy (G0135)  ,"['T1074.001', 'T1190', 'T1574.001', 'T1105', 'T1036.004', 'T1036.005', 'T1046', 'T1095', 'T1027', 'T1588.001', 'T1588.002', 'T1120', 'T1055.001', 'T1505.003', 'T1049']"
 25 ,BITTER (G1002)             ,"['T1583.001', 'T1071.001', 'T1568', 'T1573', 'T1203', 'T1068', 'T1105', 'T1559.002', 'T1036.004', 'T1095', 'T1027', 'T1588.002', 'T1566.001', 'T1053.005', 'T1608.001', 'T1204.002']"
